correct,correctNpo,engNoun,response,suj,trial
1,teno2,book,book,ENG1001,0.0
1,teno2,book,book,ENG1001,1.0
1,kipi2,pencil,pencil,ENG1001,2.0
1,wato1,mug,mug,ENG1001,3.0
0,kipi2,pencil,book,ENG1001,4.0
1,kipi2,pencil,pencil,ENG1001,5.0
1,wato1,mug,mug,ENG1001,6.0
1,teno2,book,book,ENG1001,7.0
1,monu1,scissors,scissors,ENG1001,8.0
1,kipi2,pencil,pencil,ENG1001,9.0
1,monu1,scissors,scissors,ENG1001,10.0
1,teno2,book,book,ENG1001,11.0
1,teno2,book,book,ENG1001,12.0
1,monu1,scissors,scissors,ENG1001,13.0
1,kipi2,pencil,pencil,ENG1001,14.0
1,monu1,scissors,scissors,ENG1001,15.0
1,kipi2,pencil,pencil,ENG1001,16.0
1,wato1,mug,mug,ENG1001,17.0
1,monu1,scissors,scissors,ENG1001,18.0
1,wato1,mug,mug,ENG1001,19.0
1,monu1,scissors,scissors,ENG1001,20.0
1,wato1,mug,mug,ENG1001,21.0
1,wato1,mug,mug,ENG1001,22.0
1,teno2,book,book,ENG1001,23.0
