correct,engMod,engNoun,modType,npoMod,response,suj,trial
0,that,scissors,outer,hig2,this,ENG1002,0
1,that,mug,outer,hig2,that,ENG1002,1
1,blue,scissors,inner,wun1,blue,ENG1002,2
1,that,mug,outer,hig2,that,ENG1002,3
1,red,book,inner,kim2,red,ENG1002,4
0,this,book,outer,hog1,that,ENG1002,5
1,this,mug,outer,hog1,this,ENG1002,6
1,red,book,inner,kim2,red,ENG1002,7
1,this,mug,outer,hog1,this,ENG1002,8
1,blue,book,inner,wun1,blue,ENG1002,9
1,that,mug,outer,hig2,that,ENG1002,10
1,that,mug,outer,hig2,that,ENG1002,11
1,blue,mug,inner,wun1,blue,ENG1002,12
1,this,mug,outer,hog1,this,ENG1002,13
1,that,scissors,outer,hig2,that,ENG1002,14
1,blue,pencil,inner,wun1,blue,ENG1002,15
1,this,pencil,outer,hog1,this,ENG1002,16
1,blue,book,inner,wun1,blue,ENG1002,17
1,red,scissors,inner,kim2,red,ENG1002,18
1,blue,mug,inner,wun1,blue,ENG1002,19
1,red,scissors,inner,kim2,red,ENG1002,20
1,red,scissors,inner,kim2,red,ENG1002,21
1,this,book,outer,hog1,this,ENG1002,22
1,red,scissors,inner,kim2,red,ENG1002,23
